00183,3-77,31,TEST
ARNUA,33,143,TEST
CPCFB,39,A73,TEST
CPCFB,49,B429,TEST
JPAGB,5,569,TEST
JPAGB,6,577,TEST
JPBAB,3,1620,TEST
JPHGB,10,447,TEST
JPHGB,11,883,TEST
JPHGB,13,1375,TEST
JPHGB,14,L131,TEST
JPHGB,15,1349,TEST
JPHGB,16,L1,TEST
JPHGB,17,289,TEST
JPHGB,21,639,TEST
JPHGB,23,L85,TEST
JPHGB,25,1839,TEST
JPHGB,28,1325,TEST
JPHGB,28,2783,TEST
JPHGB,33,1,TEST
JPHGB,34,129,TEST
JPHGB,34,151,TEST
JPHGB,34,1721,TEST
JPHGB,38,015103,TEST
JPHGB,4,345,TEST
JPHGB,8,L147,TEST
JTPLA,23,663,TEST
JTPLA,23,72,TEST
JTPLA,27,502,TEST
JTPLA,28,303,TEST
JTPLA,31,236,TEST
JTPLA,33,651,TEST
JTPLA,61,877,TEST
NUCIA,103,A731,TEST
NUCIA,104,A1787,TEST
NUCIA,104,A363,TEST
NUCIA,104,A405,TEST
NUCIA,105,A99,TEST
NUCIA,107,A1911,TEST
NUCIA,11,C229,TEST
NUCIA,12,A509,TEST
NUCIA,14,A65,TEST
NUCIA,16,A178,TEST
NUCIA,19,C537,TEST
NUCIA,20,A35,TEST
NUCIA,21,A146,TEST
NUCIA,21,A387,TEST
NUCIA,24,A324,TEST
NUCIA,25,A688,TEST
NUCIA,27,A132,TEST
NUCIA,28,A21,TEST
NUCIA,28,A289,TEST
NUCIA,2,A419,TEST
NUCIA,31,A553,TEST
NUCIA,32,A236,TEST
NUCIA,35,A465,TEST
NUCIA,37,A175,TEST
NUCIA,3,A1,TEST
NUCIA,3,A371,TEST
NUCIA,3,A796,TEST
NUCIA,40,A41,TEST
NUCIA,40,A589,TEST
NUCIA,41,A96,TEST
NUCIA,42,A403,TEST
NUCIA,42,A695,TEST
NUCIA,44,A1272,TEST
NUCIA,44,A587,TEST
NUCIA,44,A90,TEST
NUCIA,45,A1038,TEST
NUCIA,45,A171,TEST
NUCIA,45,A281,TEST
NUCIA,45,A520,TEST
NUCIA,45,A882,TEST
NUCIA,49,A209,TEST
NUCIA,50,A393,TEST
NUCIA,50,A701,TEST
NUCIA,51,A175,TEST
NUCIA,51,A401,TEST
NUCIA,51,A837,TEST
NUCIA,52,A1287,TEST
NUCIA,52,A662,TEST
NUCIA,54,A187,TEST
NUCIA,54,A537,TEST
NUCIA,54,A983,TEST
NUCIA,54,A999,TEST
NUCIA,56,A531,TEST
NUCIA,57,A182,TEST
NUCIA,57,A37,TEST
NUCIA,57,A850,TEST
NUCIA,62,A14,TEST
NUCIA,63,A423,TEST
NUCIA,63,A743,TEST
NUCIA,64,A75,TEST
NUCIA,66,A167,TEST
NUCIA,66,A243,TEST
NUCIA,78,A313,TEST
NUCIA,80,A363,TEST
NUCIA,85,A67,TEST
NUCIA,96,A159,TEST
NUCIA,96,A182,TEST
NUCIA,9,A1,TEST
NUCIA,9,A160,TEST
NUCIA,9,A166,TEST
NUCIA,9,A319,TEST
NUCIA,9,C358,TEST
NUPHA,A525,513c,TEST
NUPHZ,B21,5,TEST
PANUE,70,1873,TEST
PHLTA,100,B347,TEST
PHLTA,100,B95,TEST
PHLTA,101,B341,TEST
PHLTA,101,B357,TEST
PHLTA,101,B439,TEST
PHLTA,102,B13,TEST
PHLTA,102,B209,TEST
PHLTA,102,B247,TEST
PHLTA,102,B296,TEST
PHLTA,103,B234,TEST
PHLTA,103,B75,TEST
PHLTA,104,B231,TEST
PHLTA,104,B494,TEST
PHLTA,104,B84,TEST
PHLTA,105,B155,TEST
PHLTA,105,B239,TEST
PHLTA,105,B263,TEST
PHLTA,105,B304,TEST
PHLTA,105,B55,TEST
PHLTA,106,B155,TEST
PHLTA,106,B175,TEST
PHLTA,106,B235,TEST
PHLTA,107,B153,TEST
PHLTA,107,B159,TEST
PHLTA,107,B297,TEST
PHLTA,108,B55,TEST
PHLTA,109,B119,TEST
PHLTA,109,B129,TEST
PHLTA,109,B234,TEST
PHLTA,110,B173,TEST
PHLTA,110,B419,TEST
PHLTA,110,B77,TEST
PHLTA,110,B82,TEST
PHLTA,112,B100,TEST
PHLTA,112,B178,TEST
PHLTA,112,B227,TEST
PHLTA,112,B265,TEST
PHLTA,112,B277,TEST
PHLTA,112,B97,TEST
PHLTA,113,B190,TEST
PHLTA,113,B195,TEST
PHLTA,113,B509,TEST
PHLTA,113,B82,TEST
PHLTA,113,B93,TEST
PHLTA,114,B282,TEST
PHLTA,114,B298,TEST
PHLTA,114,B63,TEST
PHLTA,114,B76,TEST
PHLTA,115,B270,TEST
PHLTA,115,B349,TEST
PHLTA,116,B247,TEST
PHLTA,116,B264,TEST
PHLTA,116,B383,TEST
PHLTA,117,B123,TEST
PHLTA,118,B199,TEST
PHLTA,118,B221,TEST
PHLTA,118,B447,TEST
PHLTA,118,B453,TEST
PHLTA,118,B461,TEST
PHLTA,119,B320,TEST
PHLTA,119,B323,TEST
PHLTA,120,B127,TEST
PHLTA,120,B133,TEST
PHLTA,120,B137,TEST
PHLTA,120,B465,TEST
PHLTA,121,B115,TEST
PHLTA,121,B187,TEST
PHLTA,121,B193,TEST
PHLTA,121,B216,TEST
PHLTA,121,B429,TEST
PHLTA,121,B449,TEST
PHLTA,122,B103,TEST
PHLTA,122,B455,TEST
PHLTA,122,B465,TEST
PHLTA,122,B476,TEST
PHLTA,123,B349,TEST
PHLTA,123,B353,TEST
PHLTA,124,B435,TEST
PHLTA,126,B137,TEST
PHLTA,126,B225,TEST
PHLTA,127,B132,TEST
PHLTA,127,B270,TEST
PHLTA,128,B129,TEST
PHLTA,128,B327,TEST
PHLTA,128,B333,TEST
PHLTA,128,B361,TEST
PHLTA,129,B141,TEST
PHLTA,129,B265,TEST
PHLTA,129,B370,TEST
PHLTA,130,B331,TEST
PHLTA,130,B439,TEST
PHLTA,130,B444,TEST
PHLTA,132,B237,TEST
PHLTA,132,B241,TEST
PHLTA,133,B265,TEST
PHLTA,133,B380,TEST
PHLTA,133,B454,TEST
PHLTA,133,B461,TEST
PHLTA,134,B174,TEST
PHLTA,134,B469,TEST
PHLTA,135,B498,TEST
PHLTA,136,B130,TEST
PHLTA,137,B135,TEST
PHLTA,137,B272,TEST
PHLTA,137,B439,TEST
PHLTA,138,B441,TEST
PHLTA,138,B459,TEST
PHLTA,139,B313,TEST
PHLTA,139,B320,TEST
PHLTA,139,B427,TEST
PHLTA,140,B112,TEST
PHLTA,140,B117,TEST
PHLTA,140,B119,TEST
PHLTA,140,B123,TEST
PHLTA,140,B130,TEST
PHLTA,140,B264,TEST
PHLTA,140,B299,TEST
PHLTA,141,B271,TEST
PHLTA,142,B125,TEST
PHLTA,142,B99,TEST
PHLTA,144,B133,TEST
PHLTA,144,B136,TEST
PHLTA,146,B111,TEST
PHLTA,146,B116,TEST
PHLTA,146,B273,TEST
PHLTA,146,B431,TEST
PHLTA,146,B443,TEST
PHLTA,147,B227,TEST
PHLTA,147,B487,TEST
PHLTA,148,B355,TEST
PHLTA,148,B382,TEST
PHLTA,149,B258,TEST
PHLTA,149,B427,TEST
PHLTA,149,B514,TEST
PHLTA,150,B230,TEST
PHLTA,150,B235,TEST
PHLTA,150,B242,TEST
PHLTA,152,B439,TEST
PHLTA,153,B188,TEST
PHLTA,153,B289,TEST
